Continent,Var1,Var2,Correlation
All,alcconsumption,alcconsumption,1
All,incomeperperson,alcconsumption,0.247642777
All,suicideper100th,alcconsumption,0.343219682
All,employrate,alcconsumption,-0.101337789
All,urbanrate,alcconsumption,0.285779572
All,beer_servings,alcconsumption,0.733780027
All,spirit_servings,alcconsumption,0.5357056
All,wine_servings,alcconsumption,0.545960802
All,total_litres_of_pure_alcohol,alcconsumption,0.881127462
All,Happiness.Score,alcconsumption,0.271780431
All,alcconsumption,incomeperperson,0.247642777
All,incomeperperson,incomeperperson,1
All,suicideper100th,incomeperperson,0.006954859
All,employrate,incomeperperson,-0.019480871
All,urbanrate,incomeperperson,0.5447289
All,beer_servings,incomeperperson,0.266985085
All,spirit_servings,incomeperperson,0.07130788
All,wine_servings,incomeperperson,0.428310381
All,total_litres_of_pure_alcohol,incomeperperson,0.278127557
All,Happiness.Score,incomeperperson,0.526541032
All,alcconsumption,suicideper100th,0.343219682
All,incomeperperson,suicideper100th,0.006954859
All,suicideper100th,suicideper100th,1
All,employrate,suicideper100th,0.023861891
All,urbanrate,suicideper100th,-0.125377185
All,beer_servings,suicideper100th,0.192740971
All,spirit_servings,suicideper100th,0.223235943
All,wine_servings,suicideper100th,0.112820021
All,total_litres_of_pure_alcohol,suicideper100th,0.321205335
All,Happiness.Score,suicideper100th,0.094818
All,alcconsumption,employrate,-0.101337789
All,incomeperperson,employrate,-0.019480871
All,suicideper100th,employrate,0.023861891
All,employrate,employrate,1
All,urbanrate,employrate,-0.30438415
All,beer_servings,employrate,-0.147269426
All,spirit_servings,employrate,-0.157638146
All,wine_servings,employrate,-0.160417943
All,total_litres_of_pure_alcohol,employrate,-0.111795768
All,Happiness.Score,employrate,-0.030037153
All,alcconsumption,urbanrate,0.285779572
All,incomeperperson,urbanrate,0.5447289
All,suicideper100th,urbanrate,-0.125377185
All,employrate,urbanrate,-0.30438415
All,urbanrate,urbanrate,1
All,beer_servings,urbanrate,0.395601077
All,spirit_servings,urbanrate,0.197668327
All,wine_servings,urbanrate,0.389959616
All,total_litres_of_pure_alcohol,urbanrate,0.343583731
All,Happiness.Score,urbanrate,0.47337013
All,alcconsumption,beer_servings,0.733780027
All,incomeperperson,beer_servings,0.266985085
All,suicideper100th,beer_servings,0.192740971
All,employrate,beer_servings,-0.147269426
All,urbanrate,beer_servings,0.395601077
All,beer_servings,beer_servings,1
All,spirit_servings,beer_servings,0.458818874
All,wine_servings,beer_servings,0.527171694
All,total_litres_of_pure_alcohol,beer_servings,0.835838628
All,Happiness.Score,beer_servings,0.400039718
All,alcconsumption,spirit_servings,0.5357056
All,incomeperperson,spirit_servings,0.07130788
All,suicideper100th,spirit_servings,0.223235943
All,employrate,spirit_servings,-0.157638146
All,urbanrate,spirit_servings,0.197668327
All,beer_servings,spirit_servings,0.458818874
All,spirit_servings,spirit_servings,1
All,wine_servings,spirit_servings,0.194797047
All,total_litres_of_pure_alcohol,spirit_servings,0.654968175
All,Happiness.Score,spirit_servings,0.176222327
All,alcconsumption,wine_servings,0.545960802
All,incomeperperson,wine_servings,0.428310381
All,suicideper100th,wine_servings,0.112820021
All,employrate,wine_servings,-0.160417943
All,urbanrate,wine_servings,0.389959616
All,beer_servings,wine_servings,0.527171694
All,spirit_servings,wine_servings,0.194797047
All,wine_servings,wine_servings,1
All,total_litres_of_pure_alcohol,wine_servings,0.667598342
All,Happiness.Score,wine_servings,0.397554839
All,alcconsumption,total_litres_of_pure_alcohol,0.881127462
All,incomeperperson,total_litres_of_pure_alcohol,0.278127557
All,suicideper100th,total_litres_of_pure_alcohol,0.321205335
All,employrate,total_litres_of_pure_alcohol,-0.111795768
All,urbanrate,total_litres_of_pure_alcohol,0.343583731
All,beer_servings,total_litres_of_pure_alcohol,0.835838628
All,spirit_servings,total_litres_of_pure_alcohol,0.654968175
All,wine_servings,total_litres_of_pure_alcohol,0.667598342
All,total_litres_of_pure_alcohol,total_litres_of_pure_alcohol,1
All,Happiness.Score,total_litres_of_pure_alcohol,0.358147677
All,alcconsumption,Happiness.Score,0.271780431
All,incomeperperson,Happiness.Score,0.526541032
All,suicideper100th,Happiness.Score,0.094818
All,employrate,Happiness.Score,-0.030037153
All,urbanrate,Happiness.Score,0.47337013
All,beer_servings,Happiness.Score,0.400039718
All,spirit_servings,Happiness.Score,0.176222327
All,wine_servings,Happiness.Score,0.397554839
All,total_litres_of_pure_alcohol,Happiness.Score,0.358147677
All,Happiness.Score,Happiness.Score,1
Africa,alcconsumption,alcconsumption,1
Africa,incomeperperson,alcconsumption,0.16474459
Africa,suicideper100th,alcconsumption,0.271240286
Africa,employrate,alcconsumption,0.117503225
Africa,urbanrate,alcconsumption,-0.058503558
Africa,beer_servings,alcconsumption,0.555005691
Africa,spirit_servings,alcconsumption,0.212334724
Africa,wine_servings,alcconsumption,0.228493385
Africa,total_litres_of_pure_alcohol,alcconsumption,0.909481855
Africa,Happiness.Score,alcconsumption,0.094718484
Africa,alcconsumption,incomeperperson,0.16474459
Africa,incomeperperson,incomeperperson,1
Africa,suicideper100th,incomeperperson,-0.088558856
Africa,employrate,incomeperperson,-0.403942674
Africa,urbanrate,incomeperperson,0.452437609
Africa,beer_servings,incomeperperson,0.406573761
Africa,spirit_servings,incomeperperson,0.124702133
Africa,wine_servings,incomeperperson,0.586846718
Africa,total_litres_of_pure_alcohol,incomeperperson,0.183937551
Africa,Happiness.Score,incomeperperson,0.265015815
Africa,alcconsumption,suicideper100th,0.271240286
Africa,incomeperperson,suicideper100th,-0.088558856
Africa,suicideper100th,suicideper100th,1
Africa,employrate,suicideper100th,0.244661962
Africa,urbanrate,suicideper100th,-0.25895078
Africa,beer_servings,suicideper100th,0.100713762
Africa,spirit_servings,suicideper100th,-0.000387671
Africa,wine_servings,suicideper100th,0.053229084
Africa,total_litres_of_pure_alcohol,suicideper100th,0.289277644
Africa,Happiness.Score,suicideper100th,-0.099576438
Africa,alcconsumption,employrate,0.117503225
Africa,incomeperperson,employrate,-0.403942674
Africa,suicideper100th,employrate,0.244661962
Africa,employrate,employrate,1
Africa,urbanrate,employrate,-0.484727351
Africa,beer_servings,employrate,-0.242341875
Africa,spirit_servings,employrate,-0.058320718
Africa,wine_servings,employrate,-0.114933429
Africa,total_litres_of_pure_alcohol,employrate,0.019951195
Africa,Happiness.Score,employrate,-0.428378674
Africa,alcconsumption,urbanrate,-0.058503558
Africa,incomeperperson,urbanrate,0.452437609
Africa,suicideper100th,urbanrate,-0.25895078
Africa,employrate,urbanrate,-0.484727351
Africa,urbanrate,urbanrate,1
Africa,beer_servings,urbanrate,0.293238942
Africa,spirit_servings,urbanrate,0.410477166
Africa,wine_servings,urbanrate,0.255255774
Africa,total_litres_of_pure_alcohol,urbanrate,0.055212862
Africa,Happiness.Score,urbanrate,0.165009684
Africa,alcconsumption,beer_servings,0.555005691
Africa,incomeperperson,beer_servings,0.406573761
Africa,suicideper100th,beer_servings,0.100713762
Africa,employrate,beer_servings,-0.242341875
Africa,urbanrate,beer_servings,0.293238942
Africa,beer_servings,beer_servings,1
Africa,spirit_servings,beer_servings,0.409619165
Africa,wine_servings,beer_servings,0.306796786
Africa,total_litres_of_pure_alcohol,beer_servings,0.644130188
Africa,Happiness.Score,beer_servings,0.124137214
Africa,alcconsumption,spirit_servings,0.212334724
Africa,incomeperperson,spirit_servings,0.124702133
Africa,suicideper100th,spirit_servings,-0.000387671
Africa,employrate,spirit_servings,-0.058320718
Africa,urbanrate,spirit_servings,0.410477166
Africa,beer_servings,spirit_servings,0.409619165
Africa,spirit_servings,spirit_servings,1
Africa,wine_servings,spirit_servings,0.202459815
Africa,total_litres_of_pure_alcohol,spirit_servings,0.310381433
Africa,Happiness.Score,spirit_servings,-0.103142757
Africa,alcconsumption,wine_servings,0.228493385
Africa,incomeperperson,wine_servings,0.586846718
Africa,suicideper100th,wine_servings,0.053229084
Africa,employrate,wine_servings,-0.114933429
Africa,urbanrate,wine_servings,0.255255774
Africa,beer_servings,wine_servings,0.306796786
Africa,spirit_servings,wine_servings,0.202459815
Africa,wine_servings,wine_servings,1
Africa,total_litres_of_pure_alcohol,wine_servings,0.313100711
Africa,Happiness.Score,wine_servings,0.01353876
Africa,alcconsumption,total_litres_of_pure_alcohol,0.909481855
Africa,incomeperperson,total_litres_of_pure_alcohol,0.183937551
Africa,suicideper100th,total_litres_of_pure_alcohol,0.289277644
Africa,employrate,total_litres_of_pure_alcohol,0.019951195
Africa,urbanrate,total_litres_of_pure_alcohol,0.055212862
Africa,beer_servings,total_litres_of_pure_alcohol,0.644130188
Africa,spirit_servings,total_litres_of_pure_alcohol,0.310381433
Africa,wine_servings,total_litres_of_pure_alcohol,0.313100711
Africa,total_litres_of_pure_alcohol,total_litres_of_pure_alcohol,1
Africa,Happiness.Score,total_litres_of_pure_alcohol,0.121224595
Africa,alcconsumption,Happiness.Score,0.094718484
Africa,incomeperperson,Happiness.Score,0.265015815
Africa,suicideper100th,Happiness.Score,-0.099576438
Africa,employrate,Happiness.Score,-0.428378674
Africa,urbanrate,Happiness.Score,0.165009684
Africa,beer_servings,Happiness.Score,0.124137214
Africa,spirit_servings,Happiness.Score,-0.103142757
Africa,wine_servings,Happiness.Score,0.01353876
Africa,total_litres_of_pure_alcohol,Happiness.Score,0.121224595
Africa,Happiness.Score,Happiness.Score,1
Asia,alcconsumption,alcconsumption,1
Asia,incomeperperson,alcconsumption,0.117898362
Asia,suicideper100th,alcconsumption,0.43172893
Asia,employrate,alcconsumption,0.216315188
Asia,urbanrate,alcconsumption,0.046198561
Asia,beer_servings,alcconsumption,0.812967631
Asia,spirit_servings,alcconsumption,0.446232532
Asia,wine_servings,alcconsumption,0.280304279
Asia,total_litres_of_pure_alcohol,alcconsumption,0.882935003
Asia,Happiness.Score,alcconsumption,0.053495426
Asia,alcconsumption,incomeperperson,0.117898362
Asia,incomeperperson,incomeperperson,1
Asia,suicideper100th,incomeperperson,-0.137923036
Asia,employrate,incomeperperson,0.154788504
Asia,urbanrate,incomeperperson,0.636438278
Asia,beer_servings,incomeperperson,0.17198325
Asia,spirit_servings,incomeperperson,0.090132884
Asia,wine_servings,incomeperperson,0.005924489
Asia,total_litres_of_pure_alcohol,incomeperperson,0.205851064
Asia,Happiness.Score,incomeperperson,0.516929672
Asia,alcconsumption,suicideper100th,0.43172893
Asia,incomeperperson,suicideper100th,-0.137923036
Asia,suicideper100th,suicideper100th,1
Asia,employrate,suicideper100th,0.134209539
Asia,urbanrate,suicideper100th,-0.393519815
Asia,beer_servings,suicideper100th,0.355155833
Asia,spirit_servings,suicideper100th,0.215454959
Asia,wine_servings,suicideper100th,0.326048289
Asia,total_litres_of_pure_alcohol,suicideper100th,0.464994094
Asia,Happiness.Score,suicideper100th,0.093642029
Asia,alcconsumption,employrate,0.216315188
Asia,incomeperperson,employrate,0.154788504
Asia,suicideper100th,employrate,0.134209539
Asia,employrate,employrate,1
Asia,urbanrate,employrate,-0.185851761
Asia,beer_servings,employrate,0.258936716
Asia,spirit_servings,employrate,0.1884817
Asia,wine_servings,employrate,0.215838288
Asia,total_litres_of_pure_alcohol,employrate,0.257736873
Asia,Happiness.Score,employrate,0.147699217
Asia,alcconsumption,urbanrate,0.046198561
Asia,incomeperperson,urbanrate,0.636438278
Asia,suicideper100th,urbanrate,-0.393519815
Asia,employrate,urbanrate,-0.185851761
Asia,urbanrate,urbanrate,1
Asia,beer_servings,urbanrate,0.097418573
Asia,spirit_servings,urbanrate,-0.019136382
Asia,wine_servings,urbanrate,-0.01967651
Asia,total_litres_of_pure_alcohol,urbanrate,0.069171329
Asia,Happiness.Score,urbanrate,0.332541019
Asia,alcconsumption,beer_servings,0.812967631
Asia,incomeperperson,beer_servings,0.17198325
Asia,suicideper100th,beer_servings,0.355155833
Asia,employrate,beer_servings,0.258936716
Asia,urbanrate,beer_servings,0.097418573
