Continent,Var1,Var2,Correlation
All,alcconsumption,alcconsumption,1.00
All,incomeperperson,alcconsumption,0.25
All,suicideper100th,alcconsumption,0.34
All,employrate,alcconsumption,-0.10
All,urbanrate,alcconsumption,0.29
All,beer_servings,alcconsumption,0.73
All,spirit_servings,alcconsumption,0.54
All,wine_servings,alcconsumption,0.55
All,total_litres_of_pure_alcohol,alcconsumption,0.88
All,Happiness.Score,alcconsumption,0.27
All,alcconsumption,incomeperperson,0.25
All,incomeperperson,incomeperperson,1.00
All,suicideper100th,incomeperperson,0.01
All,employrate,incomeperperson,-0.02
All,urbanrate,incomeperperson,0.54
All,beer_servings,incomeperperson,0.27
All,spirit_servings,incomeperperson,0.07
All,wine_servings,incomeperperson,0.43
All,total_litres_of_pure_alcohol,incomeperperson,0.28
All,Happiness.Score,incomeperperson,0.53
All,alcconsumption,suicideper100th,0.34
All,incomeperperson,suicideper100th,0.01
All,suicideper100th,suicideper100th,1.00
All,employrate,suicideper100th,0.02
All,urbanrate,suicideper100th,-0.13
All,beer_servings,suicideper100th,0.19
All,spirit_servings,suicideper100th,0.22
All,wine_servings,suicideper100th,0.11
All,total_litres_of_pure_alcohol,suicideper100th,0.32
All,Happiness.Score,suicideper100th,0.09
All,alcconsumption,employrate,-0.10
All,incomeperperson,employrate,-0.02
All,suicideper100th,employrate,0.02
All,employrate,employrate,1.00
All,urbanrate,employrate,-0.30
All,beer_servings,employrate,-0.15
All,spirit_servings,employrate,-0.16
All,wine_servings,employrate,-0.16
All,total_litres_of_pure_alcohol,employrate,-0.11
All,Happiness.Score,employrate,-0.03
All,alcconsumption,urbanrate,0.29
All,incomeperperson,urbanrate,0.54
All,suicideper100th,urbanrate,-0.13
All,employrate,urbanrate,-0.30
All,urbanrate,urbanrate,1.00
All,beer_servings,urbanrate,0.40
All,spirit_servings,urbanrate,0.20
All,wine_servings,urbanrate,0.39
All,total_litres_of_pure_alcohol,urbanrate,0.34
All,Happiness.Score,urbanrate,0.47
All,alcconsumption,beer_servings,0.73
All,incomeperperson,beer_servings,0.27
All,suicideper100th,beer_servings,0.19
All,employrate,beer_servings,-0.15
All,urbanrate,beer_servings,0.40
All,beer_servings,beer_servings,1.00
All,spirit_servings,beer_servings,0.46
All,wine_servings,beer_servings,0.53
All,total_litres_of_pure_alcohol,beer_servings,0.84
All,Happiness.Score,beer_servings,0.40
All,alcconsumption,spirit_servings,0.54
All,incomeperperson,spirit_servings,0.07
All,suicideper100th,spirit_servings,0.22
All,employrate,spirit_servings,-0.16
All,urbanrate,spirit_servings,0.20
All,beer_servings,spirit_servings,0.46
All,spirit_servings,spirit_servings,1.00
All,wine_servings,spirit_servings,0.19
All,total_litres_of_pure_alcohol,spirit_servings,0.65
All,Happiness.Score,spirit_servings,0.18
All,alcconsumption,wine_servings,0.55
All,incomeperperson,wine_servings,0.43
All,suicideper100th,wine_servings,0.11
All,employrate,wine_servings,-0.16
All,urbanrate,wine_servings,0.39
All,beer_servings,wine_servings,0.53
All,spirit_servings,wine_servings,0.19
All,wine_servings,wine_servings,1.00
All,total_litres_of_pure_alcohol,wine_servings,0.67
All,Happiness.Score,wine_servings,0.40
All,alcconsumption,total_litres_of_pure_alcohol,0.88
All,incomeperperson,total_litres_of_pure_alcohol,0.28
All,suicideper100th,total_litres_of_pure_alcohol,0.32
All,employrate,total_litres_of_pure_alcohol,-0.11
All,urbanrate,total_litres_of_pure_alcohol,0.34
All,beer_servings,total_litres_of_pure_alcohol,0.84
All,spirit_servings,total_litres_of_pure_alcohol,0.65
All,wine_servings,total_litres_of_pure_alcohol,0.67
All,total_litres_of_pure_alcohol,total_litres_of_pure_alcohol,1.00
All,Happiness.Score,total_litres_of_pure_alcohol,0.36
All,alcconsumption,Happiness.Score,0.27
All,incomeperperson,Happiness.Score,0.53
All,suicideper100th,Happiness.Score,0.09
All,employrate,Happiness.Score,-0.03
All,urbanrate,Happiness.Score,0.47
All,beer_servings,Happiness.Score,0.40
All,spirit_servings,Happiness.Score,0.18
All,wine_servings,Happiness.Score,0.40
All,total_litres_of_pure_alcohol,Happiness.Score,0.36
All,Happiness.Score,Happiness.Score,1.00
Africa,alcconsumption,alcconsumption,1.00
Africa,incomeperperson,alcconsumption,0.16
Africa,suicideper100th,alcconsumption,0.27
Africa,employrate,alcconsumption,0.12
Africa,urbanrate,alcconsumption,-0.06
Africa,beer_servings,alcconsumption,0.56
Africa,spirit_servings,alcconsumption,0.21
Africa,wine_servings,alcconsumption,0.23
Africa,total_litres_of_pure_alcohol,alcconsumption,0.91
Africa,Happiness.Score,alcconsumption,0.09
Africa,alcconsumption,incomeperperson,0.16
Africa,incomeperperson,incomeperperson,1.00
Africa,suicideper100th,incomeperperson,-0.09
Africa,employrate,incomeperperson,-0.40
Africa,urbanrate,incomeperperson,0.45
Africa,beer_servings,incomeperperson,0.41
Africa,spirit_servings,incomeperperson,0.12
Africa,wine_servings,incomeperperson,0.59
Africa,total_litres_of_pure_alcohol,incomeperperson,0.18
Africa,Happiness.Score,incomeperperson,0.27
Africa,alcconsumption,suicideper100th,0.27
Africa,incomeperperson,suicideper100th,-0.09
Africa,suicideper100th,suicideper100th,1.00
Africa,employrate,suicideper100th,0.24
