"","Continent","alcohol","servings"
"1","Africa","wine",862
"2","Africa","beer",3258
"3","Africa","spirits",866
"4","Asia","wine",326
"5","Asia","beer",1383
"6","Asia","spirits",2351
"7","Europe","wine",6473
"8","Europe","beer",8967
"9","Europe","spirits",6291
"10","North America","wine",564
"11","North America","beer",3345
"12","North America","spirits",3812
"13","Oceania","wine",570
"14","Oceania","beer",1435
"15","Oceania","spirits",935
"16","South America","wine",749
"17","South America","beer",2101
"18","South America","spirits",1377
