country,Continent,alcconsumption,incomeperperson,suicideper100th,employrate,urbanrate,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Afghanistan,Asia,0.03,,6.6843853,55.70000076,24.04,0,0,0,0
Albania,Europe,7.29,1914.996551,7.699329853,51.40000153,46.72,89,132,54,4.9
Algeria,Africa,0.69,2231.993335,4.848769665,50.5,65.22,25,0,14,0.7
Andorra,Europe,10.17,21943.3399,5.362178802,,88.92,245,138,312,12.4
Angola,Africa,5.57,1381.004268,14.55467701,75.69999695,56.7,217,57,45,5.9
Antigua & Barbuda,North America,8.17,11894.46407,2.1618433,,30.46,102,128,45,4.9
Argentina,South America,9.35,10749.41924,7.765584,58.40000153,92,193,25,221,8.3
Armenia,Europe,13.66,1326.741757,3.741587877,40.09999847,63.86,21,179,11,3.8
Australia,Oceania,10.21,25249.98606,8.470030125,61.5,88.74,261,72,212,10.4
Austria,Europe,12.4,26692.98411,13.09437,57.09999847,67.16,279,75,191,9.7
Azerbaijan,Europe,13.34,2344.896916,1.380964637,60.90000153,51.92,21,46,5,1.3
Bahamas,North America,8.65,19630.54055,3.374415874,66.59999847,83.7,122,176,51,6.3
Bahrain,Asia,4.19,12505.21254,4.414990425,60.40000153,88.52,42,63,7,2
Bangladesh,Asia,0.17,558.0628766,14.53835678,68.09999847,27.14,0,0,0,0
Barbados,North America,6.42,9243.587053,3.108602524,66.90000153,39.84,143,173,36,6.3
Belarus,Europe,18.85,2737.670379,26.8746903,53.40000153,73.46,142,373,42,14.4
Belgium,Europe,10.41,24496.04826,15.95385,48.59999847,97.36,295,84,212,10.5
Belize,North America,5.92,3545.652174,9.388795853,56.79999924,51.7,263,114,8,6.8
Benin,Africa,2.08,377.0396995,6.057739735,71.59999847,41.2,34,4,13,1.1
Bhutan,Asia,0.54,1324.194906,15.54260254,58.40000153,34.48,23,0,0,0.4
Bolivia,South America,5.78,1232.794137,2.034178495,70.40000153,65.58,167,41,8,3.8
Bosnia-Herzegovina,Europe,9.6,2183.344867,11.8367157,41.20000076,47.44,76,173,8,4.6
Botswana,Africa,6.97,4189.436587,11.21397018,46,59.58,173,35,35,5.4
Brazil,South America,10.08,4699.411262,4.777007,64.5,85.58,245,145,16,7.2
Brunei,Asia,1.86,17092.46,1.370001554,63.79999924,74.82,31,2,1,0.6
Bulgaria,Europe,11.4,2549.558474,9.216544,47.29999924,71.1,231,252,94,10.3
Burkina Faso,Africa,7.32,276.200413,8.204221725,81.30000305,19.56,25,7,7,4.3
Burundi,Africa,9.65,115.3059959,14.68093586,83.19999695,10.4,88,0,0,6.3
C™te d'Ivoire,Africa,6.47,591.0679443,20.31793022,59.90000153,48.78,37,1,7,4
Cabo Verde,Africa,,,,,,144,56,16,4
Cambodia,Asia,4.71,557.9475126,4.961071491,78.90000153,21.56,57,65,1,2.2
Cameroon,Africa,7.9,713.6393027,7.214220524,59.09999847,56.76,147,1,4,5.8
Canada,North America,10.2,25575.35262,10.10099,63.5,80.4,240,122,100,8.2
Central African Rep.,Africa,3.17,239.5187494,13.54841995,71.30000305,38.58,17,2,1,1.8
Chad,Africa,4.39,275.8842865,8.283070564,68.90000153,26.68,15,1,1,0.4
Chile,South America,8.81,6334.105194,10.17187,51,88.44,130,124,172,7.6
China,Asia,5.56,2425.471293,16.91324806,72.80000305,43.1,79,192,8,5
Colombia,South America,6.59,3233.42378,4.907702,63.20000076,74.5,159,76,3,4.2
Comoros,Africa,0.28,336.3687495,4.751083851,68,28.08,1,3,1,0.1
"Congo, Rep.",Africa,4.46,1253.292015,9.873761177,64.19999695,61.34,76,1,9,1.7
Cook Islands,Oceania,3.23,,4.373364925,,,0,254,74,5.9
Costa Rica,North America,5.81,5188.900935,6.597168,58.59999847,63.26,149,87,11,4.4
Croatia,Europe,15,6338.494668,14.77625,47.09999847,57.28,230,87,254,10.2
Cuba,North America,5.12,4495.046262,10.57191,56,75.66,93,137,5,4.2
Cyprus,Europe,8.84,15313.85935,2.206169,59.09999847,69.9,192,154,113,8.2
Czech Republic,Europe,16.47,7381.312751,12.36798,56,73.5,361,170,134,11.8
North Korea,Asia,,,4.735673428,64.59999847,62.68,0,0,0,0
DR Congo,Africa,3.39,103.7758572,14.71302032,66.19999695,33.96,32,3,1,2.3
Denmark,Europe,12.02,30532.27704,8.973104,63.09999847,86.68,224,81,278,10.4
Djibouti,Africa,1.87,895.3183396,4.993475914,,87.3,15,44,3,1.1
Dominica,North America,8.68,6147.77961,5.835250854,,73.92,52,286,26,6.6
Dominican Rep.,North America,6.28,4049.169629,6.519536972,52.70000076,69.02,193,147,9,6.2
Ecuador,South America,9.43,1728.020976,8.504684448,59.70000076,65.58,162,74,3,4.2
Egypt,Africa,0.32,1975.551906,1.799903631,42.40000153,42.72,6,4,1,0.2
El Salvador,North America,3.99,2557.433638,7.304886,58.20000076,60.7,52,69,2,2.2
Equatorial Guinea,Africa,6.12,8654.536845,10.12934971,61.70000076,39.38,92,0,233,5.8
Eritrea,Africa,1.64,131.796207,8.913362503,64.90000153,20.72,18,0,0,0.5
Estonia,Europe,17.24,6238.537506,16.95924,56.5,69.46,224,194,59,9.5
Ethiopia,Africa,4.1,220.8912479,10.07194233,80.69999695,17,20,3,0,0.7
Fiji,Oceania,2.76,2230.676374,3.94025898,56.40000153,52.36,77,35,1,2
Finland,Europe,13.1,27110.73159,16.23437,57.20000076,63.3,263,133,97,10
France,Europe,12.48,22878.46657,14.09153,51.20000076,77.36,127,151,370,11.8
Gabon,Africa,9.46,4180.765821,7.745064735,59,85.04,347,98,59,8.9
Gambia,Africa,3.58,354.5997263,6.449156761,71.69999695,56.42,8,0,1,2.4
Georgia,Europe,6.66,1258.762596,1.574350119,55.59999847,52.74,52,100,149,5.4
Germany,Europe,12.14,25306.18719,9.211085,53.5,73.64,346,117,175,11.3
Ghana,Africa,3.11,358.9795398,6.288554668,65.09999847,50.02,31,3,10,1.8
Greece,Europe,11.01,13577.87989,2.816705,49.59999847,61,133,112,218,8.3
Grenada,North America,10.71,5330.401612,3.576478243,,30.84,199,438,28,11.9
Guatemala,North America,7.1,1860.753895,2.234896,62.70000076,48.58,53,69,2,2.2
Guinea,Africa,0.79,411.5014473,7.443826199,81.5,34.44,9,0,2,0.2
Guinea-Bissau,Africa,3.9,161.3171371,7.563692093,65.90000153,29.84,28,31,21,2.5
Guyana,South America,8.7,1200.652075,35.75287247,58.90000153,28.38,93,302,1,7.1
Haiti,North America,5.92,371.4241975,1.519248009,55.90000153,46.84,1,326,1,5.9
Honduras,North America,4.43,1392.411829,7.060184479,56.29999924,47.88,69,98,2,3
Hungary,Europe,16.12,5634.003948,20.16201,47.29999924,67.5,234,215,185,11.3
Iceland,Europe,7.38,33945.31442,11.42618084,73.59999847,92.26,233,61,78,6.6
India,Asia,2.69,786.7000981,18.58382607,55.40000153,29.54,9,114,0,2.2
Indonesia,Asia,0.56,1143.831514,11.39611149,61.5,51.46,5,1,0,0.1
Iran,Asia,1.03,2161.54651,6.021882057,47.79999924,68.46,0,0,0,0
Iraq,Asia,0.47,736.2680538,17.03264618,37.40000153,66.6,9,3,0,0.2
Ireland,Europe,14.92,27595.09135,10.36507,59.90000153,61.34,313,118,165,11.4
Israel,Asia,2.52,22275.75166,5.931845,51.29999924,91.66,63,69,9,2.5
Italy,Europe,9.72,18982.26929,4.930044509,46.40000153,68.08,85,42,237,6.5
Jamaica,North America,5.17,3665.348369,4.417507172,58.20000076,53.3,82,97,9,3.4
Japan,Asia,7.79,39309.47886,18.94693,57.29999924,66.48,77,202,16,7
Jordan,Asia,0.65,2534.00038,0.201448724,38.90000153,78.42,6,21,1,0.5
Kazakhstan,Asia,11.1,2481.718918,25.4046,63.70000076,57.94,124,246,12,6.8
Kenya,Africa,3.88,468.6960436,10.93771839,73.19999695,21.6,58,22,2,1.8
Kiribati,Oceania,2.7,760.262365,,,43.84,21,34,1,1
Kuwait,Asia,0.1,,1.498057424,65.69999695,98.36,0,0,0,0
Kyrgyzstan,Asia,4.72,372.728414,9.875281,58.90000153,36.28,31,97,6,2.4
Laos,Asia,6.99,554.8798401,26.21919823,78.19999695,30.88,62,0,123,6.2
Latvia,Europe,13.45,5011.219456,20.36959,56.79999924,68.12,281,216,62,10.5
Lebanon,Asia,2.3,6746.612632,5.83831501,46,86.96,20,55,31,1.9
Lesotho,Africa,5.56,495.7342469,7.858619213,56.29999924,25.46,82,29,0,2.8
Liberia,Africa,5.07,155.0332312,7.1848526,66,60.14,19,152,2,3.1
Libya,Africa,0.1,7885.468037,4.667024612,48.59999847,77.54,0,0,0,0
Lithuania,Europe,16.3,5332.238591,33.34186,53.09999847,66.96,343,244,56,12.9
Luxembourg,Europe,12.84,52301.58718,12.40591812,53.5,82.44,236,133,271,11.4
Madagascar,Africa,1.32,242.6775342,5.767406464,83,29.52,26,15,4,0.8
Malawi,Africa,1.44,184.1417966,10.17173481,71.80000305,18.8,8,11,1,1.5
Malaysia,Asia,0.87,5184.709328,8.2110672,60.5,70.36,13,4,0,0.3
Maldives,Asia,,4038.857818,22.35347939,56.90000153,37.86,0,0,0,0
Mali,Africa,0.99,269.8928811,8.262892723,45.70000076,32.18,5,1,1,0.6
Malta,Europe,4.1,11066.78414,4.551121235,46.79999924,94.26,149,100,120,6.6
Marshall Islands,Oceania,,2437.282445,7.202383518,,71.08,0,0,0,0
Mauritania,Africa,0.11,609.1312059,6.882952213,46.90000153,41,0,0,0,0
Mauritius,Africa,3.53,5182.143721,8.08154,54.5,42.48,98,31,18,2.6
Mexico,North America,8.55,6105.280743,4.288574,57.90000153,77.2,238,68,5,5.5
Micronesia,Oceania,5.25,2146.358593,4.762269974,,22.54,62,50,18,2.3
Monaco,Europe,,105147.4377,11.1510725,,100,0,0,0,0
Mongolia,Asia,3.41,772.9333448,13.08961582,52.09999847,57.18,77,189,8,4.9
Montenegro,Europe,,2222.335052,,,60.18,31,114,128,4.9
Morocco,Africa,1.24,1844.351028,2.109413624,46.20000076,56.02,12,6,10,0.5
Mozambique,Africa,2.27,389.7636343,10.55037498,77,36.84,47,18,5,1.3
Myanmar,Asia,0.58,,10.11499691,74.69999695,32.58,5,1,0,0.1
Namibia,Africa,12.09,2667.24671,8.021969795,42,36.84,376,3,1,6.8
Nauru,Oceania,4.81,,4.079525471,,,49,0,8,1
Nepal,Asia,2.42,268.2594495,11.65520954,61.79999924,17.24,5,6,0,0.2
Netherlands,Europe,9.75,26551.84424,8.164005,61.29999924,81.82,251,88,190,9.4
New Zealand,Oceania,9.99,14778.16393,12.17976,65,86.56,203,79,175,9.3
Nicaragua,North America,5.21,948.355952,12.12226868,58.79999924,56.74,78,118,1,3.5
Niger,Africa,0.34,180.083376,9.257975578,60.40000153,16.54,3,2,1,0.1
Nigeria,Africa,12.72,544.5994767,7.631049633,50.90000153,48.36,42,5,2,9.1
Niue,Oceania,8.69,,4.217076302,,,188,200,7,7
Norway,Europe,8.35,39972.35277,10.823,65,77.48,169,71,129,6.7
Oman,Asia,0.92,11191.81101,3.716739416,50.70000076,71.62,22,16,1,0.7
Pakistan,Asia,0.05,668.547943,12.86981487,51,36.16,0,0,0,0
Palau,Oceania,9.86,6243.571318,5.554276466,,80.46,306,63,23,6.9
Panama,North America,7.3,5900.616944,6.1052819,59.79999924,73.2,285,104,18,7.2
Papua New Guinea,Oceania,3.64,744.2394132,11.95694065,70.40000153,12.54,44,39,1,1.5
Paraguay,South America,7.91,1621.177078,4.409532,73.09999847,60.3,213,117,74,7.3
Peru,South America,6.53,3180.430612,1.658907771,68.30000305,71.4,163,160,21,6.1
Philippines,Asia,6.08,1383.401869,1.922485113,61,64.92,71,186,1,4.6
Poland,Europe,14.43,6575.745044,13.63706,48.70000076,61.32,343,215,56,10.9
Portugal,Europe,13.89,11744.83417,8.188375473,57.59999847,59.46,194,67,339,11
Qatar,Asia,1.29,33931.83208,2.515720844,76,95.64,1,42,7,0.9
South Korea,Asia,19.15,16372.49978,22.40456,58.90000153,81.46,140,16,9,9.8
Moldova,Europe,,,,,,109,226,18,6.3
Romania,Europe,16.15,2636.7878,10.05932,49.5,54.24,297,122,167,10.4
Russia,Europe,16.23,2923.144355,27.87416,58.79999924,72.84,247,326,73,11.5
Rwanda,Africa,9.99,338.2663912,13.11794853,79.80000305,18.34,43,2,0,6.8
St. Kitts & Nevis,North America,10.62,9175.796015,,,32.32,194,205,32,7.7
St. Lucia,North America,12.05,5248.582321,8.21094799,,27.84,171,315,71,10.1
St. Vincent & the Grenadines,North America,4.99,4885.046701,9.593027115,,47.04,120,221,11,6.3
Samoa,Oceania,4.51,1784.071284,5.542323589,,23,105,18,24,2.6
San Marino,Europe,,31993.20069,6.087670803,,94.22,0,0,0,0
Sao Tome & Principe,Africa,8.45,,10.49314976,,60.56,56,38,140,4.2
Saudi Arabia,Asia,0.34,9425.32587,6.401537895,51.20000076,82.42,0,5,0,0.1
Senegal,Africa,0.51,561.7085848,6.81143856,65.59999847,42.38,9,1,7,0.3
Serbia,Europe,12.21,1194.711433,13.71634,,52.04,283,131,127,9.6
Seychelles,Africa,12.11,8614.120219,9.507927895,,54.34,157,25,51,4.1
Sierra Leone,Africa,9.48,268.3317903,11.98049736,63.79999924,37.76,25,3,2,6.7
Singapore,Asia,1.54,32535.83251,9.127511,62.40000153,100,60,12,11,1.5
Slovakia,Europe,13.31,8445.526689,10.64574,53.40000153,56.56,196,293,116,11.4
Slovenia,Europe,14.94,12729.4544,19.42261,55.90000153,48.6,270,51,276,10.6
Solomon Is.,Oceania,1.37,1144.102193,4.484752655,65,17.96,56,11,1,1.2
Somaliland,Africa,0.5,,29.86416435,66,36.52,0,0,0,0
South Africa,Africa,10.16,3745.649852,15.714571,41.09999847,60.74,225,76,81,8.2
Spain,Europe,11.83,15461.75837,5.888479,52.5,77.12,284,157,112,10
Sri Lanka,Asia,0.81,1295.742686,28.10404587,55.09999847,15.1,16,104,0,2.2
S. Sudan,Africa,2.56,523.9501515,9.709555626,47.29999924,43.44,8,13,0,1.7
Suriname,South America,6.56,2668.020519,20.7474308,44.70000076,74.92,128,178,7,5.6
Swaziland,Africa,5.05,1810.230533,12.87222195,50.90000153,24.94,90,2,2,4.7
Sweden,Europe,9.5,32292.48298,11.11583,60.70000076,84.54,152,60,186,7.2
Switzerland,Europe,11.41,37662.75125,13.23981,64.30000305,73.48,185,100,280,10.2
Syria,Asia,1.49,1525.780116,0.523527563,44.79999924,54.22,5,35,16,1
Tajikistan,Asia,3.39,279.1804526,2.648980856,54.59999847,26.46,2,15,0,0.3
